bairro,area_m2,quartos,banheiros,vagas,andar,idade_anos,preco
Santa Teresa,238,4,6,0,1,1.0,1620694.3
Leblon,26,3,5,2,12,55.0,482763.75
Tijuca,171,4,4,2,2,36.0,1203180.02
Vila Isabel,179,5,6,0,12,15.0,1050348.45
Laranjeiras,230,2,4,1,20,45.0,2065515.01
Santa Teresa,74,1,1,0,14,50.0,467259.74
Laranjeiras,76,3,4,1,13,57.0,644386.83
Centro,272,1,3,0,2,47.0,1645713.66
Barra da Tijuca,243,5,6,2,23,12.0,2767787.49
Copacabana,288,5,5,1,9,9.0,3847094.54
Ipanema,112,4,5,3,13,12.0,2413272.97
Tijuca,349,5,6,0,22,52.0,1836967.98
Copacabana,113,1,3,3,15,18.0,1212071.76
Jacarepagua,236,4,5,3,18,19.0,1273954.31
Laranjeiras,77,3,4,1,4,53.0,537482.85
Santa Teresa,323,2,4,2,11,12.0,2425571.99
Jacarepagua,133,2,3,1,13,,725641.47
Grajau,285,3,5,2,4,17.0,2095975.28
Santa Teresa,132,4,6,3,9,18.0,718636.17
Vila Isabel,282,1,3,2,20,35.0,1420444.41
Recreio,172,4,4,2,23,44.0,1399273.57
Tijuca,45,5,6,3,20,15.0,371880.27
Santa Teresa,86,1,3,1,23,2.0,638862.51
Botafogo,247,5,5,0,24,38.0,2671800.64
Recreio,87,4,5,2,4,32.0,759709.75
Ipanema,114,2,3,2,21,39.0,1811882.05
Laranjeiras,201,4,5,0,15,27.0,1507136.53
Centro,107,4,6,2,21,46.0,617936.7
Ipanema,66,4,6,0,15,37.0,1309847.79
Botafogo,227,1,1,1,3,45.0,1703118.76
Meier,248,1,2,3,14,43.0,1152437.42
Meier,263,4,6,2,19,,1575700.86
Vila Isabel,331,2,3,2,3,19.0,2010511.87
Botafogo,65,2,4,2,12,34.0,464184.65
Grajau,163,3,4,0,16,38.0,1064536.2
Recreio,101,4,6,3,11,34.0,641373.27
Vila Isabel,317,1,3,1,19,31.0,1543128.69
Botafogo,200,5,5,3,3,,1488861.73
Copacabana,56,3,5,3,8,8.0,790725.87
Copacabana,249,1,1,0,23,25.0,2550169.0
Barra da Tijuca,38,1,3,2,12,52.0,406868.45
Santa Teresa,114,5,6,0,4,43.0,793654.61
Copacabana,259,1,1,2,2,45.0,2491837.67
Barra da Tijuca,189,3,3,1,14,44.0,2141834.95
Ipanema,272,4,5,0,23,55.0,4184021.05
Grajau,210,3,3,2,1,,1409935.86
Flamengo,298,2,3,3,2,43.0,2093289.47
Laranjeiras,207,1,1,0,9,4.0,1757321.57
Flamengo,43,4,4,3,5,,403442.75
Centro,48,3,4,3,3,1.0,285354.02
Laranjeiras,277,1,3,2,7,25.0,2536622.33
Copacabana,37,1,1,3,16,8.0,536409.11
Vila Isabel,147,3,3,1,20,23.0,978163.29
Laranjeiras,30,1,1,2,7,8.0,248732.58
Laranjeiras,123,2,2,2,17,2.0,844494.49
Barra da Tijuca,218,1,1,2,20,28.0,2371740.05
Vila Isabel,81,4,4,3,0,24.0,369880.61
Barra da Tijuca,176,4,5,3,21,25.0,1969849.5
Copacabana,348,4,4,3,4,,3972885.8
Grajau,47,1,3,2,17,24.0,318105.63
Botafogo,45,2,3,3,18,0.0,689936.96
Ipanema,113,2,4,2,21,28.0,2072973.19
Centro,293,4,5,2,10,50.0,1780889.84
Botafogo,156,5,6,0,16,8.0,1969999.71
Vila Isabel,232,2,3,1,0,,1683443.39
Recreio,36,4,6,3,11,46.0,235196.76
Copacabana,263,3,3,1,24,30.0,2520255.59
Santa Teresa,46,5,6,2,3,15.0,322238.25
Jacarepagua,256,1,1,3,3,47.0,1190542.14
Botafogo,73,5,5,1,17,19.0,714191.62
Flamengo,303,3,5,1,12,36.0,2238173.28
Jacarepagua,121,2,4,0,11,33.0,679539.93
Copacabana,84,1,1,0,6,10.0,837580.29
Laranjeiras,134,5,6,2,4,45.0,774832.06
Recreio,25,5,6,2,18,37.0,157001.21
Flamengo,78,1,1,1,8,12.0,735722.61
Grajau,219,3,4,1,19,45.0,1107572.86
Centro,122,4,6,0,11,37.0,607858.21
Flamengo,140,3,4,3,9,,1188101.79
Botafogo,287,1,2,2,5,49.0,2653638.66
Botafogo,65,2,4,0,16,19.0,629569.16
Recreio,153,2,2,2,7,56.0,779578.75
Vila Isabel,85,2,3,1,22,2.0,554719.45
Jacarepagua,181,5,5,3,10,20.0,1127200.29
Barra da Tijuca,132,2,4,1,20,36.0,1754280.96
Laranjeiras,40,4,4,3,11,,354581.67
Vila Isabel,47,5,6,2,10,13.0,353975.66
Grajau,302,4,5,0,11,,2654276.44
Tijuca,43,4,4,3,11,46.0,242993.26
Flamengo,279,1,3,2,11,52.0,2663847.33
Meier,322,1,1,1,22,,1511185.1
Recreio,176,4,4,0,17,31.0,1581389.31
Barra da Tijuca,126,4,5,1,0,46.0,1395314.12
Ipanema,277,4,6,2,1,14.0,3278152.16
Tijuca,344,3,4,0,0,58.0,1566309.77
Meier,64,3,4,1,17,7.0,301036.44
Grajau,338,1,2,2,5,35.0,1465934.49
Vila Isabel,331,2,2,2,9,20.0,2290377.95
Leblon,71,3,3,3,20,54.0,1643510.74
Flamengo,42,1,1,0,3,,381135.51
Ipanema,257,1,1,3,3,38.0,4290553.64
Flamengo,50,1,3,1,1,9.0,586755.47
Barra da Tijuca,220,2,3,0,7,10.0,2899972.28
Recreio,46,5,6,3,2,24.0,346201.28
Flamengo,249,4,6,2,15,47.0,1972248.97
Recreio,100,5,6,2,18,16.0,921110.67
Vila Isabel,56,2,4,1,4,41.0,333894.8
Meier,46,3,4,3,13,34.0,239131.01
Santa Teresa,86,5,6,0,7,58.0,537994.11
Centro,200,2,4,0,2,18.0,1094449.09
Tijuca,49,4,4,0,11,14.0,274416.26
Laranjeiras,285,4,4,2,17,54.0,2433244.98
Recreio,221,5,6,0,5,19.0,1406766.28
Meier,121,5,6,3,19,12.0,748640.95
Leblon,345,4,6,0,24,49.0,7145663.46
Ipanema,239,3,5,2,1,48.0,2723771.26
Meier,243,5,6,3,4,3.0,1220360.0
Leblon,81,4,4,3,7,51.0,1811309.26
Santa Teresa,255,2,3,1,21,37.0,1815269.61
Vila Isabel,206,4,4,0,3,16.0,1021502.57
Flamengo,344,3,4,3,11,32.0,3414753.42
Laranjeiras,180,2,2,1,13,14.0,1497371.04
Meier,245,3,3,3,3,10.0,925018.6
Copacabana,135,4,6,0,1,7.0,1693609.28
Barra da Tijuca,38,5,6,2,2,9.0,410974.13
Jacarepagua,66,3,5,0,1,34.0,346237.8
Grajau,306,1,2,1,12,48.0,1515239.1
Botafogo,264,5,5,0,23,29.0,3062135.33
Jacarepagua,143,3,4,3,8,0.0,916880.88
Barra da Tijuca,251,2,4,2,6,25.0,1798635.31
Leblon,26,4,5,0,5,,483518.95
Ipanema,37,2,2,1,24,50.0,535126.91
Barra da Tijuca,189,2,3,1,23,43.0,2607559.14
Ipanema,228,5,6,2,16,22.0,4178615.1
Ipanema,329,5,5,1,11,38.0,5634642.07
Barra da Tijuca,271,3,5,1,3,4.0,3130832.89
Botafogo,108,2,4,3,23,,1027522.38
Meier,289,5,6,2,0,32.0,1330043.03
Copacabana,184,1,2,3,4,1.0,2119683.54
Tijuca,293,4,4,3,16,0.0,2849624.53
Recreio,81,3,3,3,4,,521450.66
Santa Teresa,33,5,6,3,2,13.0,203504.65
Centro,43,3,4,2,14,7.0,233328.03
Grajau,347,5,5,2,0,35.0,2294008.5
Barra da Tijuca,51,1,3,2,6,16.0,612496.67
Recreio,330,4,6,0,16,58.0,2079665.52
Recreio,261,1,2,3,4,56.0,1888365.6
Grajau,72,4,6,2,18,49.0,357854.79
Santa Teresa,305,1,2,3,2,18.0,1490711.7
Santa Teresa,71,5,6,2,15,52.0,394039.6
Laranjeiras,71,4,5,1,1,15.0,649801.71
Jacarepagua,212,1,2,1,18,14.0,1241167.39
Meier,118,5,6,3,18,58.0,384699.64
Santa Teresa,119,2,2,2,19,40.0,961053.73
Tijuca,88,3,5,3,7,5.0,682356.4
Barra da Tijuca,222,1,3,2,5,53.0,2301111.96
Grajau,33,1,3,2,24,9.0,262629.04
Barra da Tijuca,104,2,2,0,18,40.0,949310.89
Botafogo,204,3,3,0,4,26.0,2081795.18
Meier,183,3,4,2,0,1.0,1137785.32
Tijuca,252,5,6,0,8,47.0,1760883.94
Grajau,95,1,3,0,16,41.0,632741.85
Grajau,235,4,6,3,9,53.0,1360732.99
Tijuca,271,1,1,2,20,36.0,1355528.93
Jacarepagua,151,2,3,0,12,45.0,742611.67
Santa Teresa,108,1,3,1,24,54.0,605046.86
Laranjeiras,205,1,2,1,21,58.0,1821766.91
Botafogo,213,3,5,0,11,33.0,2413974.0
Meier,55,5,5,2,20,1.0,283880.2
Centro,208,4,5,1,11,,1176803.54
Centro,75,5,6,3,0,37.0,380421.13
Copacabana,209,3,5,0,7,6.0,2858122.84
Tijuca,327,1,1,3,10,6.0,1870049.45
Vila Isabel,199,2,2,0,24,23.0,857167.98
Botafogo,272,5,5,3,20,54.0,2416324.2
Tijuca,125,1,1,3,3,19.0,534169.28
Tijuca,324,1,3,1,0,56.0,1791215.74
Leblon,289,5,6,1,13,48.0,5603305.06
Leblon,322,1,1,0,13,18.0,8138396.92
Barra da Tijuca,266,5,6,1,18,13.0,3195110.51
Grajau,236,4,5,2,6,49.0,1315737.77
Copacabana,195,4,6,2,20,45.0,2189799.66
Tijuca,326,3,3,0,10,37.0,1723313.36
Copacabana,300,1,3,0,8,,3023222.12
Meier,160,3,4,2,10,6.0,933163.13
Botafogo,52,5,6,2,23,23.0,513175.01
Laranjeiras,26,5,6,3,9,36.0,216142.87
Meier,100,3,5,3,14,4.0,564676.24
Laranjeiras,45,5,6,2,22,58.0,376335.28
Centro,93,4,6,2,0,34.0,438098.48
Recreio,60,1,2,2,13,18.0,511102.98
Vila Isabel,343,4,4,1,17,14.0,2040142.64
Jacarepagua,55,4,6,2,22,0.0,314770.23
Santa Teresa,228,3,5,0,1,35.0,1551235.97
Santa Teresa,139,4,5,3,18,58.0,744816.18
Meier,81,5,5,3,20,2.0,543409.67
Flamengo,252,3,5,1,8,24.0,2511184.24
Botafogo,340,2,4,1,18,39.0,2905035.83
Vila Isabel,281,5,6,1,12,25.0,1748402.88
Flamengo,341,5,6,3,16,39.0,2622369.92
Grajau,216,4,5,0,9,42.0,947848.51
Tijuca,243,4,4,1,4,57.0,1210079.04
Laranjeiras,72,1,1,2,20,36.0,612311.42
Jacarepagua,302,3,3,2,5,42.0,1582023.87
Leblon,268,1,1,1,4,18.0,5595375.29
Leblon,107,3,5,0,22,9.0,2835103.63
Meier,140,5,6,2,23,5.0,713888.14
Tijuca,223,2,2,2,15,6.0,1645455.11
Ipanema,29,5,6,3,14,49.0,525711.55
Recreio,290,1,1,0,9,2.0,1811479.62
Centro,116,1,2,0,15,29.0,596342.98
Tijuca,49,5,6,1,15,36.0,271884.48
Santa Teresa,132,1,3,2,12,40.0,869241.46
Laranjeiras,296,4,6,0,16,3.0,2796464.3
Jacarepagua,114,4,4,0,13,51.0,591721.41
Santa Teresa,200,2,4,1,21,26.0,1597114.75
Recreio,288,1,3,1,16,1.0,2115433.09
Leblon,35,2,3,2,9,7.0,707982.2
Copacabana,271,1,1,0,16,51.0,2616513.26
Santa Teresa,118,4,4,3,5,56.0,773937.89
Santa Teresa,251,5,6,0,5,45.0,2177228.11
Laranjeiras,86,5,5,1,20,20.0,894096.35
Ipanema,70,5,5,3,14,56.0,823278.34
Tijuca,281,4,5,2,1,16.0,1921164.55
Copacabana,287,5,5,3,8,14.0,3421462.55
Copacabana,343,4,6,0,24,45.0,3294344.77
Botafogo,245,4,6,2,15,19.0,2806843.33
Meier,176,5,5,0,21,31.0,595899.6
Copacabana,88,2,2,2,13,39.0,980453.07
Santa Teresa,120,3,3,1,1,9.0,855543.64
Recreio,235,5,6,3,4,55.0,1452843.57
Botafogo,137,2,3,0,2,9.0,1773157.99
Jacarepagua,182,2,3,3,18,59.0,680357.57
Laranjeiras,79,1,1,1,18,16.0,783388.74
Tijuca,167,2,2,2,11,25.0,1293905.56
Copacabana,102,3,4,2,18,15.0,1265629.78
Copacabana,61,5,5,0,13,32.0,496289.8
Vila Isabel,67,1,2,1,18,0.0,570848.98
Ipanema,193,4,6,2,16,10.0,3451323.85
Centro,144,4,4,3,11,31.0,709284.88
Barra da Tijuca,57,5,6,3,16,41.0,606592.17
Laranjeiras,192,4,6,2,7,57.0,1272432.1
Copacabana,78,1,3,1,18,50.0,628574.75
Grajau,30,3,3,1,22,55.0,173178.94
Flamengo,68,5,5,1,5,47.0,485437.86
Recreio,170,5,6,1,16,46.0,1322589.14
Botafogo,335,4,6,1,2,,3609730.73
Santa Teresa,103,5,5,3,9,54.0,781869.94
Tijuca,117,4,5,1,16,57.0,656094.93
Jacarepagua,103,1,2,0,6,30.0,475868.17
Barra da Tijuca,140,5,6,2,5,7.0,1403331.32
Botafogo,258,1,3,2,9,2.0,3902018.73
Recreio,129,2,3,1,2,29.0,1040923.35
Leblon,238,2,4,2,15,38.0,4085709.98
Copacabana,316,4,4,3,3,33.0,4030037.83
Tijuca,332,1,1,3,8,53.0,2290544.97
Ipanema,207,4,6,3,7,,2582788.31
Recreio,256,5,5,2,24,39.0,1740147.33
Vila Isabel,323,4,6,0,24,45.0,1786194.36
Leblon,280,2,2,2,1,53.0,3819866.72
Copacabana,122,5,6,3,3,36.0,1200835.07
Ipanema,67,2,2,3,18,33.0,1214862.68
Jacarepagua,62,4,6,3,7,4.0,299595.86
Tijuca,311,3,4,3,16,38.0,2130149.87
Jacarepagua,205,1,1,2,23,10.0,1531238.96
Copacabana,121,1,2,0,4,22.0,1397256.68
Tijuca,137,1,1,1,24,31.0,961396.3
Recreio,116,5,6,1,1,4.0,873791.21
Recreio,285,5,5,3,5,41.0,2220051.29
Meier,224,3,4,3,12,16.0,989345.44
Laranjeiras,310,5,6,1,22,30.0,2879800.97
Jacarepagua,123,1,1,1,13,21.0,706135.48
Vila Isabel,178,5,5,0,3,,1228508.36
Jacarepagua,64,2,3,0,6,23.0,319437.81
Botafogo,340,1,2,1,19,3.0,3732700.23
Botafogo,191,4,4,0,14,11.0,1728688.62
Tijuca,204,2,2,1,0,47.0,1247222.91
Meier,159,2,4,3,12,7.0,837658.9
Botafogo,113,4,6,2,10,29.0,971604.58
Grajau,333,2,3,2,0,8.0,1980367.38
Jacarepagua,183,4,6,0,6,32.0,1026526.3
Vila Isabel,244,1,1,3,23,38.0,1195414.49
Flamengo,37,1,3,2,17,28.0,292726.34
Barra da Tijuca,114,2,4,2,1,46.0,1301043.94
Botafogo,286,4,4,1,0,15.0,2837537.12
Laranjeiras,53,2,3,2,8,33.0,499903.14
Tijuca,57,1,3,3,11,16.0,392565.29
Botafogo,288,4,5,2,11,30.0,2840424.21
Grajau,125,3,3,1,17,3.0,957058.5
Jacarepagua,114,3,4,2,4,16.0,775433.3
Copacabana,208,2,4,3,1,42.0,2369876.27
Jacarepagua,88,1,1,1,16,46.0,515040.13
Recreio,38,1,2,3,22,16.0,298735.44
Vila Isabel,26,4,5,2,4,15.0,135848.78
Flamengo,50,1,2,0,9,17.0,532646.23
Leblon,76,2,2,3,15,16.0,1995101.13
Leblon,251,5,5,2,4,59.0,4663480.54
Centro,121,2,4,1,21,39.0,647059.22
Copacabana,48,4,6,0,5,23.0,579546.43
Tijuca,29,2,3,3,13,27.0,222769.04
Leblon,180,5,6,3,8,30.0,3578849.26
Copacabana,298,5,6,0,16,33.0,3317892.83
Grajau,135,3,4,2,4,23.0,865616.35
Ipanema,45,4,5,0,2,58.0,512186.0
Copacabana,99,3,5,1,12,17.0,1033666.52
Grajau,187,5,6,2,21,25.0,1132464.3
Leblon,86,2,4,0,15,0.0,1545996.85
Vila Isabel,343,5,6,2,18,29.0,2122307.3
Copacabana,273,4,4,1,10,51.0,2547054.69
Leblon,136,4,5,2,3,59.0,2385705.23
Ipanema,334,2,4,3,10,28.0,6455470.11
Flamengo,130,5,6,0,24,8.0,1675416.85
Centro,70,4,5,3,19,43.0,437835.98
Jacarepagua,329,5,6,0,17,38.0,1537836.61
Botafogo,336,5,6,0,7,57.0,2147642.67
Ipanema,126,1,2,1,14,30.0,2350729.14
Meier,218,5,5,1,15,0.0,1556144.95
Botafogo,81,5,5,0,16,54.0,866418.8
Meier,233,2,4,1,22,40.0,1220758.82
Flamengo,249,5,6,3,17,48.0,1438292.94
Vila Isabel,255,3,5,2,5,7.0,1729385.81
Jacarepagua,209,2,4,2,5,27.0,1204460.94
Copacabana,253,2,2,0,15,27.0,3353310.54
Tijuca,205,2,3,0,21,16.0,1898203.77
Vila Isabel,291,1,2,1,23,50.0,1797591.07
Jacarepagua,83,4,6,3,15,11.0,461339.58
Centro,182,4,5,3,13,4.0,963784.5
Recreio,160,4,6,0,20,14.0,1502713.42
Leblon,198,3,5,1,24,59.0,3030671.12
Grajau,71,2,4,1,0,,588762.33
Laranjeiras,130,4,6,2,7,34.0,789664.92
Santa Teresa,335,5,6,0,8,10.0,2872993.76
Vila Isabel,59,1,1,1,14,23.0,380561.45
Tijuca,231,2,3,3,7,33.0,1450831.99
Botafogo,241,5,6,1,7,1.0,2351221.79
Botafogo,179,5,5,3,0,14.0,1264850.56
Grajau,35,5,6,2,0,35.0,186012.75
Meier,36,1,2,2,11,0.0,192788.24
Recreio,114,3,4,1,24,29.0,1082653.87
Santa Teresa,58,1,1,3,7,36.0,347553.89
Centro,55,5,6,0,6,12.0,341205.44
Grajau,77,3,4,3,6,9.0,427417.97
Santa Teresa,86,2,2,3,24,29.0,706289.0
Ipanema,297,1,2,2,16,43.0,3011036.38
Barra da Tijuca,232,4,4,3,16,0.0,4281024.95
Laranjeiras,34,5,5,2,4,20.0,290239.73
Vila Isabel,229,5,6,2,22,59.0,676559.75
Leblon,69,5,6,0,4,20.0,1243493.83
Tijuca,161,5,6,0,24,19.0,1063160.66
Meier,37,4,4,0,23,44.0,159573.56
Laranjeiras,54,5,6,0,14,28.0,446242.57
Ipanema,68,5,6,3,21,23.0,1078009.26
Centro,165,3,3,0,24,47.0,744355.97
Tijuca,175,4,6,0,14,1.0,1154489.74
Botafogo,139,5,6,3,19,42.0,1485703.83
Jacarepagua,226,1,3,1,14,22.0,1523976.15
Recreio,259,4,6,3,13,53.0,1657473.9
Centro,261,2,2,3,8,43.0,1275100.18
Tijuca,213,1,2,2,16,56.0,1032344.07
Vila Isabel,202,1,3,3,6,7.0,1318959.25
Ipanema,184,1,1,3,4,11.0,3302558.52
Vila Isabel,102,5,6,0,6,54.0,482103.85
Copacabana,183,4,6,0,0,23.0,2058923.38
Laranjeiras,28,1,3,1,23,48.0,235846.23
Barra da Tijuca,339,4,5,2,6,41.0,3038065.46
Barra da Tijuca,145,4,6,3,19,29.0,2080604.82
Copacabana,270,3,5,0,10,2.0,3263077.73
Flamengo,335,4,4,0,8,,4272460.64
Leblon,186,5,5,1,5,43.0,3500162.33
Centro,305,3,5,1,20,5.0,2542920.18
Flamengo,180,4,4,3,12,,2244362.04
Vila Isabel,67,3,3,1,11,13.0,444227.78
Flamengo,33,2,3,3,16,54.0,231952.18
Tijuca,69,5,6,0,20,37.0,415116.1
Laranjeiras,331,3,5,0,16,43.0,2879060.08
Vila Isabel,179,4,4,3,11,39.0,1009345.57
Tijuca,128,4,5,0,22,33.0,811160.79
Ipanema,169,4,6,0,22,15.0,3513667.1
Grajau,108,4,4,2,24,25.0,745188.74
Leblon,307,4,5,0,2,32.0,6451234.32
Meier,349,3,4,0,22,59.0,1282316.0
Botafogo,52,4,6,1,4,53.0,493118.68
Ipanema,258,3,5,2,15,44.0,4186625.06
Laranjeiras,134,2,4,2,16,48.0,1232575.6
Leblon,40,4,4,2,5,48.0,786027.22
Flamengo,324,5,6,0,0,40.0,2558970.12
Flamengo,45,4,6,1,23,,369424.14
Copacabana,91,4,5,1,22,4.0,1505580.99
Leblon,33,5,6,1,4,1.0,704703.01
Laranjeiras,178,2,3,2,15,26.0,1759055.8
Jacarepagua,219,1,2,0,3,3.0,1238549.89
Ipanema,129,2,2,2,14,20.0,1611586.4
Santa Teresa,48,4,6,3,7,11.0,306436.05
Botafogo,62,5,6,2,18,57.0,563879.76
Copacabana,328,3,5,1,14,39.0,3746827.84
Grajau,286,4,4,1,12,,2229856.19
Copacabana,329,1,1,2,17,,4091214.39
Meier,197,4,4,2,11,43.0,949990.89
Santa Teresa,202,4,4,1,0,19.0,1292415.21
Meier,280,3,3,0,14,52.0,1328073.32
Meier,225,4,4,2,19,58.0,986571.2
Barra da Tijuca,166,3,5,2,12,58.0,1483895.3
Ipanema,119,3,3,0,4,5.0,2281204.44
Meier,182,4,5,2,0,26.0,881238.16
Grajau,45,4,5,0,7,46.0,228257.42
Ipanema,87,2,3,2,19,26.0,1452047.54
Grajau,264,2,4,2,8,28.0,2003313.62
Recreio,307,3,3,0,23,19.0,3178600.39
Meier,58,2,4,2,8,25.0,298482.45
Leblon,56,2,4,0,10,41.0,1037246.13
Centro,52,2,2,1,19,1.0,266861.11
Leblon,282,2,4,2,15,47.0,6417848.36
Tijuca,126,3,4,1,1,43.0,861428.36
Flamengo,131,3,5,3,1,,1406445.39
Copacabana,29,4,4,3,4,46.0,180060.06
Recreio,341,2,2,3,21,31.0,2723014.88
Meier,166,5,6,0,0,19.0,810508.7
Ipanema,284,3,5,0,1,27.0,4899153.09
Tijuca,254,4,4,0,19,31.0,1643397.53
Barra da Tijuca,71,1,3,2,15,12.0,900274.38
Centro,285,1,3,1,24,36.0,1716378.86
Santa Teresa,203,3,4,2,5,37.0,1199227.85
Vila Isabel,221,2,4,1,16,22.0,1261871.2
Leblon,90,3,5,0,3,27.0,1788802.08
Copacabana,300,1,1,2,14,36.0,3792809.17
Copacabana,327,3,5,2,2,30.0,3777284.35
Meier,157,4,6,2,22,26.0,968395.96
Leblon,55,4,4,1,10,57.0,917035.12
Botafogo,300,2,3,2,6,52.0,3079336.49
Vila Isabel,313,2,3,3,24,22.0,1498324.62
Grajau,189,3,5,2,1,43.0,1360353.93
Vila Isabel,213,3,5,3,19,48.0,1524063.24
Botafogo,97,4,5,1,12,6.0,1172231.74
Centro,46,2,2,0,17,35.0,277896.63
Centro,331,4,4,3,6,47.0,1555948.98
Leblon,181,5,5,1,22,3.0,4216859.41
Meier,114,2,3,0,11,20.0,540785.49
Jacarepagua,250,5,6,0,10,47.0,1196017.0
Barra da Tijuca,33,2,2,1,11,56.0,353042.57
Laranjeiras,50,2,4,0,7,59.0,368425.11
Flamengo,103,4,5,2,7,36.0,1134652.64
Jacarepagua,171,4,4,2,3,2.0,1046483.2
Flamengo,144,3,3,1,12,1.0,1179590.22
Laranjeiras,85,2,2,0,11,48.0,807145.7
Meier,139,1,3,0,9,44.0,509019.41
Tijuca,133,5,5,3,24,11.0,967167.12
Laranjeiras,195,5,6,1,2,7.0,1879135.56
Flamengo,207,5,6,0,22,8.0,2343822.22
Santa Teresa,312,3,3,2,21,52.0,1598462.77
Leblon,287,5,5,3,0,45.0,4345437.51
Recreio,120,3,4,0,17,56.0,619835.55
Grajau,318,1,2,3,5,6.0,2419596.85
Jacarepagua,194,1,3,2,1,41.0,1095089.62
Santa Teresa,85,2,3,1,21,55.0,444922.81
Copacabana,135,2,2,3,2,31.0,1589077.27
Copacabana,266,5,5,1,7,46.0,2899030.64
Laranjeiras,292,2,3,2,2,36.0,2070301.77
Barra da Tijuca,146,4,5,0,3,0.0,1353563.14
Jacarepagua,76,2,4,0,1,25.0,336559.75
Recreio,87,4,6,3,21,15.0,688371.6
Recreio,58,3,4,3,1,5.0,594790.55
Santa Teresa,252,1,2,0,18,35.0,1780717.6
Ipanema,188,3,5,0,3,55.0,2114120.4
Laranjeiras,171,1,1,2,22,3.0,1815537.19
Grajau,243,5,6,3,21,19.0,1370526.3
Centro,294,4,4,2,15,40.0,1634081.16
Barra da Tijuca,283,5,6,2,20,18.0,3142615.56
Leblon,69,5,6,1,7,6.0,1333681.66
Flamengo,216,2,2,0,19,11.0,2361004.13
Jacarepagua,311,4,4,3,5,1.0,2402713.73
Leblon,276,1,1,3,15,59.0,6118889.42
Barra da Tijuca,132,5,5,1,22,29.0,1374545.77
Santa Teresa,152,4,4,2,18,56.0,868914.08
Botafogo,314,4,6,0,6,41.0,3047020.51
Leblon,35,5,6,1,18,20.0,887800.26
Flamengo,195,5,6,0,22,56.0,1052550.81
Leblon,62,5,6,1,22,15.0,1418834.11
Grajau,315,1,3,0,18,10.0,2116435.11
Vila Isabel,37,1,3,2,18,48.0,141731.73
Santa Teresa,32,5,6,0,19,33.0,187119.13
Grajau,131,2,2,2,18,25.0,800103.38
Botafogo,90,3,4,2,3,35.0,836314.91
Botafogo,186,1,2,3,20,58.0,1839557.07
Barra da Tijuca,122,4,5,0,4,16.0,1567408.97
Jacarepagua,140,5,6,1,13,54.0,745877.73
Grajau,208,5,5,0,8,54.0,1109826.34
Laranjeiras,207,3,5,2,5,45.0,1396954.96
Centro,328,4,6,0,7,9.0,1891605.28
Grajau,181,3,3,2,2,5.0,1377845.53
Centro,208,3,4,3,10,,1460392.81
Barra da Tijuca,245,3,5,2,10,42.0,2583355.71
Recreio,81,5,5,0,10,23.0,550623.02
Jacarepagua,241,2,2,1,2,59.0,1081464.57
Ipanema,305,3,5,2,15,0.0,6324888.62
Laranjeiras,128,4,4,1,4,22.0,1308001.78
Centro,82,3,5,1,21,15.0,451684.5
Flamengo,137,1,3,3,0,52.0,912248.07
Meier,114,2,3,3,1,7.0,677051.19
Laranjeiras,215,4,5,1,7,24.0,1746616.15
Santa Teresa,305,4,5,1,10,52.0,1767997.91
Meier,218,4,5,0,24,58.0,1132807.77
Recreio,65,5,6,1,13,54.0,341205.63
Ipanema,127,4,5,2,9,,2516164.59
Laranjeiras,249,3,5,2,20,9.0,2256601.78
Grajau,132,2,4,1,6,5.0,1048566.1
Flamengo,215,2,4,0,22,24.0,2065846.15
Vila Isabel,250,5,5,0,10,28.0,1527103.53
Vila Isabel,131,3,3,0,7,30.0,719578.84
Laranjeiras,235,4,6,0,7,2.0,2581447.99
Jacarepagua,154,1,2,0,0,40.0,700688.73
Ipanema,68,1,2,2,16,23.0,1069355.76
Copacabana,145,2,2,3,14,6.0,2297165.61
Botafogo,168,1,1,3,15,54.0,1456609.7
Recreio,25,4,4,2,16,21.0,184584.07
Laranjeiras,315,4,5,1,0,13.0,2172517.01
Recreio,196,3,4,3,21,29.0,2014456.77
Copacabana,36,2,3,0,12,57.0,300306.69
Botafogo,307,3,3,2,17,49.0,3621920.14
Santa Teresa,302,1,1,3,0,5.0,2496531.2
Santa Teresa,28,3,5,2,19,41.0,199176.94
Barra da Tijuca,78,1,2,1,16,39.0,904031.02
Vila Isabel,143,1,1,2,9,53.0,951229.37
Flamengo,189,1,2,3,23,57.0,1011284.72
Grajau,260,1,2,0,16,44.0,1582461.23
Grajau,162,3,4,2,22,39.0,972976.65
Centro,223,3,3,0,20,21.0,1275156.06
Barra da Tijuca,28,4,6,0,5,53.0,280370.33
Centro,239,3,3,3,24,56.0,1110194.05
Tijuca,322,1,3,1,18,59.0,1908176.87
Barra da Tijuca,196,1,2,0,4,57.0,1851684.45
Centro,172,4,5,1,19,38.0,734981.05
Meier,121,5,6,0,10,57.0,528205.08
Meier,335,2,3,3,21,46.0,1736073.96
Barra da Tijuca,35,2,3,3,4,14.0,396518.61
Recreio,118,2,3,0,6,1.0,1315932.99
Copacabana,70,2,2,0,8,58.0,744515.46
Centro,306,2,3,3,11,25.0,1909414.33
Meier,181,3,3,3,15,52.0,890730.6
Santa Teresa,324,4,4,3,5,17.0,2441946.73
Jacarepagua,241,4,6,2,17,21.0,1644577.28
Jacarepagua,205,5,5,3,0,49.0,1147452.19
